DISTRICT,BUILDING_TYPE,RENOVATION,SELLER_TYPE,TOTAL_PROPERTIES
Krylatskoye,modern_panel,cosmetic,owner,7
Krasnoselsky,monolith,no_renovation,agency,7
Shchukino,khrushchev,cosmetic,owner,7
Obruchevsky,stalin,cosmetic,agency,7
Ramenki,brick,no_renovation,agency,7
Pokrovskoye-Streshnevo,modern_panel,euro,owner,7
Babushkinsky,brick,cosmetic,owner,7
Altufyevsky,monolith,no_renovation,agency,7
Desyonovskoye,panel,designer,owner,7
Zapadnoye Degunino,khrushchev,designer,agency,7
Novofyodorovskoye,monolith,no_renovation,agency,7
Mitino,modern_panel,no_renovation,owner,7
Kuntsevo,khrushchev,cosmetic,owner,7
Novofyodorovskoye,khrushchev,euro,agency,7
Fili-Davydkovo,stalin,cosmetic,agency,7
Babushkinsky,brick,no_renovation,agency,7
Rogovskoye,panel,no_renovation,owner,7
Bogorodskoye,stalin,cosmetic,agency,7
Novo-Peredelkino,modern_panel,cosmetic,owner,7
Savyolovsky,monolith,cosmetic,owner,7
Novokosino,khrushchev,cosmetic,owner,7
Prospekt Vernadskogo,panel,designer,agency,7
Pervomayskoye,khrushchev,cosmetic,owner,7
Zyablikovo,khrushchev,designer,agency,7
Yasenevo,brick,designer,agency,7
Khoroshyovsky,panel,no_renovation,owner,7
Rostokino,monolith,no_renovation,owner,7
Dmitrovsky,khrushchev,no_renovation,agency,7
Tverskoy,monolith,no_renovation,agency,7
Vnukovskoye,khrushchev,cosmetic,owner,7
Solntsevo,stalin,cosmetic,agency,7
Perovo,stalin,cosmetic,agency,7
Ostankinsky,khrushchev,no_renovation,agency,7
Marfino,panel,euro,owner,7
Tyoply Stan,brick,euro,owner,7
Otradnoye,monolith,no_renovation,owner,7
Pokrovskoye-Streshnevo,khrushchev,cosmetic,owner,7
Tsaritsyno,brick,no_renovation,agency,7
Desyonovskoye,panel,no_renovation,owner,7
Butyrsky,monolith,designer,agency,7
Mozhaysky,stalin,cosmetic,agency,7
Babushkinsky,khrushchev,no_renovation,agency,7
Dorogomilovo,stalin,cosmetic,agency,7
Nagorny,khrushchev,no_renovation,agency,7
Novogireyevo,khrushchev,euro,owner,7
Tsaritsyno,panel,no_renovation,agency,7
Krasnopakhorskoye,brick,cosmetic,owner,7
Golovinsky,stalin,no_renovation,owner,7
Orekhovo-Borisovo Severnoye,monolith,euro,owner,7
Savyolovsky,modern_panel,euro,owner,7
Shcherbinka,modern_panel,no_renovation,agency,7
Khamovniki,brick,no_renovation,agency,7
Severnoye Izmaylovo,brick,no_renovation,owner,7
Strogino,panel,no_renovation,agency,7
Troitsk,modern_panel,no_renovation,agency,7
Mozhaysky,stalin,cosmetic,owner,7
Shchapovskoye,brick,no_renovation,owner,7
Ochakovo-Matveyevskoye,panel,euro,owner,7
Kievsky,modern_panel,euro,owner,7
Sosenskoye,brick,no_renovation,owner,7
Ostankinsky,monolith,cosmetic,owner,7
Chertanovo Severnoye,panel,no_renovation,owner,7
Kuntsevo,panel,euro,owner,7
Zapadnoye Degunino,modern_panel,euro,owner,7
Nagorny,monolith,designer,agency,7
Zyablikovo,brick,euro,owner,7
Mosrentgen,monolith,designer,agency,7
Bibirevo,panel,no_renovation,owner,7
Basmanny,brick,no_renovation,owner,7
Shcherbinka,modern_panel,designer,agency,7
Zyablikovo,panel,euro,agency,7
Dorogomilovo,monolith,euro,owner,7
Konkovo,brick,euro,agency,7
Altufyevsky,monolith,no_renovation,owner,7
Khoroshyovsky,monolith,designer,owner,7
Kuntsevo,khrushchev,no_renovation,agency,7
Donskoy,panel,designer,agency,7
Kokoshkino,monolith,no_renovation,agency,7
Metrogorodok,brick,no_renovation,agency,7
Voskresenskoye,monolith,euro,owner,7
Severnoye Butovo,brick,no_renovation,owner,7
Sviblovo,monolith,euro,owner,7
Mosrentgen,modern_panel,no_renovation,owner,7
Rogovskoye,panel,designer,agency,7
Severnoye Izmaylovo,modern_panel,designer,agency,7
Krylatskoye,panel,euro,owner,7
Rostokino,modern_panel,euro,owner,7
Moskovsky,khrushchev,euro,agency,7
Filyovsky Park,khrushchev,no_renovation,agency,7
Sosenskoye,monolith,euro,agency,7
Yuzhnoye Butovo,modern_panel,no_renovation,owner,7
Koptevo,stalin,cosmetic,agency,7
Sviblovo,khrushchev,no_renovation,agency,7
Babushkinsky,panel,designer,agency,7
Tyoply Stan,brick,cosmetic,owner,7
Begovoy,panel,cosmetic,owner,7
Krylatskoye,brick,cosmetic,agency,7
Sokolinaya Gora,panel,cosmetic,owner,7
Novokosino,panel,no_renovation,agency,7
Nagatinsky Zaton,monolith,euro,owner,7
Tsaritsyno,brick,no_renovation,owner,7
Novogireyevo,khrushchev,no_renovation,agency,7
Golovinsky,monolith,no_renovation,agency,7
Marushkinskoye,monolith,no_renovation,owner,7
Mitino,monolith,euro,owner,7
Voronovskoye,panel,designer,agency,7
Sokol,panel,euro,owner,7
Losinoostrovsky,monolith,euro,owner,7
Severnoye Butovo,brick,no_renovation,agency,7
Altufyevsky,stalin,cosmetic,owner,7
Khovrino,brick,no_renovation,agency,7
Kuntsevo,brick,cosmetic,owner,7
Zamoskvorechye,modern_panel,no_renovation,owner,7
Marfino,monolith,no_renovation,owner,7
Mozhaysky,panel,euro,owner,7
Ostankinsky,monolith,euro,owner,7
Konkovo,monolith,no_renovation,owner,7
Troparyovo-Nikulino,panel,euro,owner,7
Pokrovskoye-Streshnevo,stalin,cosmetic,agency,7
Voronovskoye,stalin,cosmetic,agency,7
Bibirevo,brick,designer,agency,7
Khovrino,modern_panel,cosmetic,owner,7
Orekhovo-Borisovo Yuzhnoye,modern_panel,no_renovation,owner,7
Yaroslavsky,modern_panel,euro,owner,7
Obruchevsky,panel,no_renovation,owner,7
Dmitrovsky,panel,euro,owner,7
Brateyevo,brick,euro,owner,7
Vnukovo,modern_panel,designer,agency,7
Moskvorechye-Saburovo,modern_panel,designer,agency,7
Desyonovskoye,monolith,no_renovation,owner,7
Basmanny,monolith,euro,owner,7
Voronovskoye,brick,designer,agency,7
Vostochnoye Izmaylovo,khrushchev,cosmetic,owner,7
Tsaritsyno,stalin,cosmetic,agency,7
Cheryomushki,panel,designer,agency,7
Severnoye Medvedkovo,khrushchev,cosmetic,owner,7
Savyolovsky,panel,designer,agency,7
Troitsk,brick,cosmetic,owner,7
Timiryazevsky,khrushchev,cosmetic,owner,7
Perovo,panel,no_renovation,owner,7
Voskresenskoye,panel,euro,owner,7
Desyonovskoye,modern_panel,no_renovation,owner,7
Shchukino,panel,euro,owner,7
Maryina Roshcha,panel,no_renovation,owner,7
Chertanovo Yuzhnoye,khrushchev,no_renovation,owner,7
Shcherbinka,khrushchev,no_renovation,agency,7
Voronovskoye,panel,no_renovation,owner,7
Voykovsky,brick,no_renovation,agency,7
Chertanovo Tsentralnoye,stalin,cosmetic,agency,7
Maryina Roshcha,khrushchev,no_renovation,agency,7
Ivanovskoye,brick,cosmetic,owner,7
Nagorny,stalin,cosmetic,agency,7
Tagansky,panel,designer,agency,7
Strogino,modern_panel,designer,agency,7
Brateyevo,stalin,euro,agency,7
Chertanovo Yuzhnoye,panel,no_renovation,owner,7
Maryina Roshcha,modern_panel,no_renovation,owner,7
Otradnoye,brick,no_renovation,agency,7
Zapadnoye Degunino,monolith,no_renovation,owner,7
Khovrino,brick,euro,owner,7
Chertanovo Yuzhnoye,modern_panel,euro,owner,7
Kosino-Ukhtomsky,brick,euro,owner,7
Yuzhnoye Medvedkovo,modern_panel,no_renovation,agency,7
Levoberezhny,khrushchev,no_renovation,agency,7
Donskoy,modern_panel,euro,owner,7
Yasenevo,monolith,cosmetic,owner,7
Marushkinskoye,stalin,euro,agency,7
Ramenki,stalin,euro,agency,7
Strogino,khrushchev,euro,owner,7
Obruchevsky,khrushchev,no_renovation,agency,6
Voykovsky,stalin,euro,owner,6
Gagarinsky,modern_panel,no_renovation,owner,6
Yuzhnoye Butovo,khrushchev,euro,owner,6
Molzhaninovsky,stalin,no_renovation,agency,6
Krasnoselsky,stalin,euro,agency,6
Zapadnoye Degunino,panel,no_renovation,owner,6
Aeroport,panel,no_renovation,owner,6
Alekseevsky,brick,no_renovation,agency,6
Tsaritsyno,monolith,designer,owner,6
Yasenevo,khrushchev,no_renovation,agency,6
Moskvorechye-Saburovo,khrushchev,cosmetic,owner,6
Sosenskoye,panel,no_renovation,owner,6
Nagorny,modern_panel,cosmetic,owner,6
Golyanovo,panel,cosmetic,owner,6
Cheryomushki,stalin,cosmetic,agency,6
Bibirevo,stalin,euro,owner,6
Pervomayskoye,brick,euro,owner,6
Sviblovo,modern_panel,designer,agency,6
Krasnoselsky,panel,euro,owner,6
Timiryazevsky,brick,euro,owner,6
Nagatino-Sadovniki,khrushchev,euro,owner,6
Mikhaylovo-Yartsevskoye,brick,designer,agency,6
Vostochnoye Izmaylovo,brick,designer,agency,6
Gagarinsky,stalin,designer,agency,6
Shcherbinka,brick,designer,agency,6
Veshnyaki,stalin,cosmetic,agency,6
Kurkino,monolith,no_renovation,owner,6
Maryina Roshcha,monolith,euro,owner,6
Sosenskoye,panel,designer,agency,6
Losinoostrovsky,panel,designer,agency,6
Koptevo,stalin,euro,agency,6
Molzhaninovsky,modern_panel,designer,agency,6
Dmitrovsky,monolith,euro,owner,6
Brateyevo,modern_panel,euro,owner,6
Severnoye Butovo,khrushchev,designer,agency,6
Novo-Peredelkino,brick,euro,owner,6
Ryazanovskoye,modern_panel,euro,agency,6
Obruchevsky,stalin,cosmetic,owner,6
Donskoy,khrushchev,no_renovation,owner,6
Troitsk,modern_panel,euro,owner,6
Losinoostrovsky,panel,no_renovation,owner,6
Mikhaylovo-Yartsevskoye,monolith,euro,owner,6
Preobrazhenskoye,brick,designer,agency,6
Severnoye Butovo,monolith,designer,agency,6
Golyanovo,monolith,no_renovation,agency,6
Golyanovo,stalin,cosmetic,owner,6
Chertanovo Yuzhnoye,monolith,euro,owner,6
Tsaritsyno,panel,no_renovation,owner,6
Shchapovskoye,panel,euro,owner,6
Tyoply Stan,khrushchev,no_renovation,owner,6
Butyrsky,khrushchev,euro,agency,6
Khoroshyovo-Mnyovniki,khrushchev,cosmetic,owner,6
Danilovsky,stalin,cosmetic,owner,6
Prospekt Vernadskogo,khrushchev,euro,owner,6
Orekhovo-Borisovo Severnoye,panel,designer,agency,6
Khoroshyovo-Mnyovniki,khrushchev,no_renovation,owner,6
Yakimanka,stalin,cosmetic,owner,6
Novokosino,khrushchev,no_renovation,agency,6
Severnoye Medvedkovo,modern_panel,no_renovation,owner,6
Kievsky,brick,designer,agency,6
Marfino,modern_panel,no_renovation,owner,6
Lianozovo,brick,euro,owner,6
Molzhaninovsky,brick,designer,owner,6
Biryulyovo Zapadnoye,panel,euro,owner,6
Tsaritsyno,modern_panel,no_renovation,agency,6
Kuntsevo,khrushchev,euro,owner,6
Filyovsky Park,brick,cosmetic,owner,6
Marfino,panel,designer,agency,6
Bibirevo,khrushchev,no_renovation,agency,6
Novofyodorovskoye,modern_panel,no_renovation,agency,6
Mozhaysky,panel,no_renovation,agency,6
Metrogorodok,khrushchev,no_renovation,agency,6
Voronovskoye,brick,no_renovation,agency,6
Pokrovskoye-Streshnevo,brick,euro,owner,6
Filyovsky Park,stalin,euro,agency,6
Donskoy,stalin,euro,agency,6
Prospekt Vernadskogo,stalin,no_renovation,agency,6
Desyonovskoye,monolith,cosmetic,owner,6
Chertanovo Severnoye,modern_panel,no_renovation,agency,6
Kurkino,monolith,cosmetic,owner,6
Novokosino,monolith,designer,owner,6
Kurkino,monolith,no_renovation,agency,6
Khovrino,modern_panel,designer,agency,6
Savyolovsky,khrushchev,cosmetic,owner,6
Arbat,brick,no_renovation,owner,6
Chertanovo Severnoye,monolith,no_renovation,owner,6
Yuzhnoye Tushino,modern_panel,cosmetic,owner,6
Klyonovskoye,brick,euro,owner,6
Vostochnoye Izmaylovo,panel,no_renovation,owner,6
Yakimanka,stalin,no_renovation,agency,6
Troparyovo-Nikulino,stalin,euro,agency,6
Moskovsky,brick,designer,agency,6
Krasnopakhorskoye,monolith,euro,owner,6
Bogorodskoye,panel,euro,owner,6
Obruchevsky,brick,no_renovation,owner,6
Pokrovskoye-Streshnevo,stalin,cosmetic,owner,6
Golyanovo,panel,euro,owner,6
Filyovsky Park,brick,euro,owner,6
Obruchevsky,brick,designer,agency,6
Khovrino,panel,no_renovation,owner,6
Donskoy,panel,no_renovation,owner,6
Nagatino-Sadovniki,brick,no_renovation,agency,6
Kurkino,khrushchev,euro,owner,6
Biryulyovo Vostochnoye,brick,no_renovation,agency,6
Golyanovo,stalin,cosmetic,agency,6
Shcherbinka,khrushchev,cosmetic,owner,6
Shchukino,brick,euro,owner,6
Losinoostrovsky,brick,no_renovation,agency,6
Vnukovskoye,modern_panel,designer,agency,6
Lianozovo,brick,no_renovation,agency,6
Filimonkovskoye,panel,no_renovation,owner,6
Akademichesky,brick,no_renovation,owner,6
Biryulyovo Vostochnoye,khrushchev,no_renovation,owner,6
Kuntsevo,monolith,designer,agency,6
Zyablikovo,monolith,designer,agency,6
Sokol,monolith,designer,agency,6
Yuzhnoye Medvedkovo,stalin,euro,agency,6
Vostochnoye Izmaylovo,modern_panel,designer,agency,6
Shcherbinka,panel,designer,agency,6
Ostankinsky,panel,designer,agency,6
Mikhaylovo-Yartsevskoye,stalin,no_renovation,agency,6
Presnensky,monolith,designer,agency,6
Rogovskoye,modern_panel,designer,agency,6
Yuzhnoye Medvedkovo,stalin,cosmetic,agency,6
Obruchevsky,khrushchev,cosmetic,owner,6
Brateyevo,monolith,euro,owner,6
Brateyevo,khrushchev,cosmetic,owner,6
Basmanny,modern_panel,no_renovation,owner,6
Severny,modern_panel,euro,owner,6
Dmitrovsky,modern_panel,designer,owner,6
Moskvorechye-Saburovo,modern_panel,euro,owner,6
Sokolinaya Gora,modern_panel,no_renovation,owner,6
Kurkino,stalin,euro,agency,6
Nagatinsky Zaton,stalin,cosmetic,agency,6
Arbat,stalin,cosmetic,agency,6
Severnoye Medvedkovo,brick,cosmetic,owner,6
Pervomayskoye,panel,designer,agency,6
Voykovsky,khrushchev,euro,owner,6
Strogino,stalin,euro,agency,6
Dorogomilovo,panel,no_renovation,owner,6
Biryulyovo Vostochnoye,khrushchev,cosmetic,owner,6
Sokolniki,khrushchev,euro,owner,6
Severnoye Medvedkovo,stalin,cosmetic,owner,6
Krasnoselsky,monolith,euro,owner,6
Chertanovo Tsentralnoye,stalin,euro,agency,6
Meshchansky,modern_panel,no_renovation,owner,6
Sokolniki,khrushchev,cosmetic,owner,6
Orekhovo-Borisovo Severnoye,panel,no_renovation,agency,6
Preobrazhenskoye,stalin,no_renovation,agency,6
Yaroslavsky,khrushchev,euro,owner,6
Khovrino,stalin,euro,agency,6
Voykovsky,brick,designer,agency,6
Filimonkovskoye,khrushchev,cosmetic,owner,6
Moskovsky,modern_panel,no_renovation,owner,6
Ramenki,modern_panel,designer,agency,6
Begovoy,brick,designer,agency,6
Novo-Peredelkino,monolith,no_renovation,owner,6
Otradnoye,panel,euro,owner,6
Zapadnoye Degunino,brick,no_renovation,owner,6
Moskvorechye-Saburovo,modern_panel,no_renovation,owner,6
Vostochnoye Izmaylovo,panel,euro,owner,6
Presnensky,khrushchev,designer,agency,6
Altufyevsky,panel,no_renovation,owner,6
Lomonosovsky,panel,no_renovation,agency,6
Izmaylovo,modern_panel,euro,owner,6
Kosino-Ukhtomsky,khrushchev,no_renovation,agency,6
Tverskoy,panel,euro,owner,6
Biryulyovo Zapadnoye,monolith,cosmetic,owner,6
Filimonkovskoye,modern_panel,no_renovation,agency,6
Shchapovskoye,brick,no_renovation,agency,6
Dmitrovsky,brick,no_renovation,owner,6
Severnoye Izmaylovo,brick,euro,owner,6
Orekhovo-Borisovo Yuzhnoye,khrushchev,euro,agency,6
Biryulyovo Vostochnoye,modern_panel,designer,agency,6
Tyoply Stan,brick,no_renovation,owner,6
Ivanovskoye,stalin,cosmetic,owner,6
Otradnoye,panel,designer,agency,6
Severnoye Izmaylovo,panel,designer,agency,6
Obruchevsky,brick,euro,owner,6
Altufyevsky,brick,cosmetic,owner,6
Zelenograd,stalin,no_renovation,agency,6
Yakimanka,brick,designer,agency,6
Bibirevo,brick,designer,owner,6
Otradnoye,khrushchev,no_renovation,owner,6
Nagorny,khrushchev,no_renovation,owner,6
Novo-Peredelkino,khrushchev,cosmetic,owner,6
Chertanovo Yuzhnoye,brick,no_renovation,owner,6
Zyuzino,panel,designer,agency,6
Vostochny,khrushchev,designer,agency,6
Marfino,khrushchev,designer,agency,6
Severnoye Tushino,panel,cosmetic,owner,6
Brateyevo,monolith,no_renovation,agency,6
Zelenograd,panel,cosmetic,owner,6
Izmaylovo,brick,cosmetic,owner,6
Biryulyovo Vostochnoye,monolith,no_renovation,owner,6
Vostochny,panel,no_renovation,owner,6
Filimonkovskoye,stalin,no_renovation,agency,6
Rogovskoye,stalin,cosmetic,owner,6
Sviblovo,modern_panel,no_renovation,agency,6
Severnoye Izmaylovo,monolith,designer,owner,6
Kosino-Ukhtomsky,khrushchev,euro,owner,6
Tsaritsyno,monolith,no_renovation,agency,6
Troitsk,panel,cosmetic,owner,6
Gagarinsky,modern_panel,euro,owner,6
Meshchansky,stalin,euro,agency,6
Kokoshkino,panel,no_renovation,agency,6
Ostankinsky,brick,euro,owner,6
Filyovsky Park,modern_panel,no_renovation,owner,6
Novokosino,modern_panel,no_renovation,owner,6
Zamoskvorechye,monolith,euro,owner,6
Klyonovskoye,panel,no_renovation,owner,6
Chertanovo Severnoye,brick,no_renovation,owner,6
Biryulyovo Zapadnoye,monolith,euro,owner,6
Meshchansky,panel,no_renovation,agency,6
Desyonovskoye,modern_panel,designer,agency,6
Ostankinsky,modern_panel,no_renovation,agency,6
Otradnoye,khrushchev,no_renovation,agency,6
Dorogomilovo,monolith,designer,agency,6
Severnoye Tushino,khrushchev,no_renovation,owner,6
Akademichesky,modern_panel,no_renovation,owner,6
Prospekt Vernadskogo,modern_panel,no_renovation,owner,6
Severnoye Izmaylovo,modern_panel,euro,owner,6
Sokol,panel,designer,owner,6
Rostokino,stalin,no_renovation,agency,6
Vostochnoye Izmaylovo,brick,designer,owner,6
Krasnoselsky,stalin,euro,owner,6
Chertanovo Tsentralnoye,khrushchev,designer,agency,6
Khovrino,brick,no_renovation,owner,6
Perovo,khrushchev,euro,agency,6
Arbat,monolith,euro,owner,6
Voykovsky,panel,cosmetic,owner,6
Tyoply Stan,modern_panel,designer,agency,6
Obruchevsky,khrushchev,designer,agency,6
Filyovsky Park,monolith,designer,agency,6
Ramenki,brick,designer,agency,6
Dmitrovsky,panel,cosmetic,owner,6
Severnoye Tushino,modern_panel,designer,agency,6
Losinoostrovsky,brick,euro,owner,6
Babushkinsky,panel,euro,owner,6
Kotlovka,stalin,cosmetic,agency,6
Meshchansky,panel,no_renovation,owner,6
Ivanovskoye,modern_panel,designer,agency,6
Biryulyovo Zapadnoye,panel,designer,agency,6
Zamoskvorechye,brick,designer,agency,6
Sokolinaya Gora,stalin,euro,agency,6
Begovoy,modern_panel,no_renovation,agency,6
Yuzhnoye Medvedkovo,khrushchev,euro,owner,6
Begovoy,panel,designer,agency,6
Tagansky,brick,euro,owner,6
Novogireyevo,modern_panel,designer,agency,6
Meshchansky,stalin,cosmetic,agency,6
Sviblovo,brick,euro,owner,6
Yakimanka,stalin,cosmetic,agency,6
Perovo,brick,no_renovation,agency,6
Sosenskoye,khrushchev,designer,agency,6
Akademichesky,khrushchev,euro,owner,6
Kuntsevo,stalin,cosmetic,agency,6
Novogireyevo,stalin,cosmetic,agency,6
Ryazanovskoye,modern_panel,no_renovation,owner,6
Mikhaylovo-Yartsevskoye,panel,designer,agency,6
Beskudnikovsky,modern_panel,designer,agency,6
Brateyevo,modern_panel,no_renovation,owner,6
Zelenograd,modern_panel,no_renovation,agency,6
Ryazanovskoye,monolith,designer,agency,6
Chertanovo Severnoye,panel,designer,agency,6
Severnoye Izmaylovo,khrushchev,no_renovation,agency,6
Ostankinsky,khrushchev,designer,agency,6
Sosenskoye,modern_panel,cosmetic,owner,6
Sokolinaya Gora,stalin,designer,agency,6
Danilovsky,monolith,designer,agency,6
Novogireyevo,monolith,euro,owner,6
Akademichesky,brick,euro,owner,6
Donskoy,stalin,no_renovation,agency,6
Tagansky,monolith,euro,owner,6
Vnukovskoye,panel,no_renovation,owner,6
Severnoye Tushino,panel,designer,agency,6
Ostankinsky,brick,no_renovation,agency,6
Strogino,brick,designer,agency,6
Sosenskoye,monolith,no_renovation,owner,6
Vnukovskoye,panel,no_renovation,agency,6
Mikhaylovo-Yartsevskoye,monolith,designer,agency,6
Babushkinsky,monolith,euro,owner,6
Yakimanka,modern_panel,no_renovation,owner,6
Maryina Roshcha,brick,no_renovation,agency,6
Yuzhnoye Tushino,khrushchev,no_renovation,agency,6
Shchukino,panel,no_renovation,owner,6
Kotlovka,panel,designer,owner,6
Shcherbinka,khrushchev,euro,owner,6
Yasenevo,khrushchev,designer,owner,6
Mozhaysky,monolith,designer,agency,6
Chertanovo Severnoye,stalin,cosmetic,agency,6
Novofyodorovskoye,brick,cosmetic,owner,6
Otradnoye,panel,cosmetic,owner,6
Sokolniki,khrushchev,no_renovation,owner,6
Losinoostrovsky,brick,no_renovation,owner,6
Biryulyovo Zapadnoye,brick,cosmetic,agency,6
Konkovo,monolith,designer,owner,6
Kotlovka,khrushchev,euro,agency,6
Vnukovskoye,panel,euro,owner,6
Brateyevo,monolith,no_renovation,owner,6
Presnensky,panel,designer,agency,6
Vostochny,panel,cosmetic,owner,6
Kokoshkino,modern_panel,no_renovation,agency,6
Tverskoy,modern_panel,designer,owner,6
Preobrazhenskoye,modern_panel,euro,owner,6
Danilovsky,panel,euro,owner,6
Severnoye Medvedkovo,stalin,cosmetic,agency,6
Beskudnikovsky,khrushchev,euro,owner,6
Maryina Roshcha,khrushchev,cosmetic,owner,6
Zelenograd,brick,designer,agency,6
Cheryomushki,brick,euro,owner,6
Yakimanka,monolith,no_renovation,owner,6
Troparyovo-Nikulino,khrushchev,cosmetic,owner,6
Vostochny,panel,designer,agency,6
Babushkinsky,modern_panel,euro,owner,6
Troparyovo-Nikulino,stalin,cosmetic,owner,6
Filyovsky Park,modern_panel,euro,owner,6
Sviblovo,stalin,cosmetic,owner,6
Arbat,brick,euro,owner,6
Klyonovskoye,modern_panel,no_renovation,agency,6
Biryulyovo Zapadnoye,panel,no_renovation,owner,6
Krasnoselsky,khrushchev,no_renovation,agency,6
Dorogomilovo,stalin,euro,agency,6
Shcherbinka,khrushchev,designer,agency,6
Golyanovo,brick,euro,owner,6
Mitino,brick,euro,owner,6
Levoberezhny,khrushchev,euro,owner,6
Alekseevsky,khrushchev,euro,owner,6
Ochakovo-Matveyevskoye,modern_panel,euro,owner,6
Veshnyaki,khrushchev,cosmetic,owner,6
Marushkinskoye,khrushchev,cosmetic,owner,6
Voykovsky,khrushchev,euro,agency,6
Gagarinsky,khrushchev,no_renovation,agency,6
Donskoy,khrushchev,cosmetic,owner,6
Novogireyevo,modern_panel,euro,owner,6
Yuzhnoye Tushino,brick,no_renovation,owner,6
Khamovniki,stalin,no_renovation,agency,6
Vostochny,khrushchev,euro,owner,6
Zamoskvorechye,panel,no_renovation,agency,6
Presnensky,modern_panel,designer,agency,6
Klyonovskoye,modern_panel,no_renovation,owner,6
Biryulyovo Vostochnoye,khrushchev,euro,owner,6
Begovoy,brick,no_renovation,owner,6
Ochakovo-Matveyevskoye,brick,designer,agency,6
Cheryomushki,khrushchev,designer,agency,6
Troitsk,khrushchev,designer,owner,6
Novo-Peredelkino,khrushchev,designer,agency,6
Mikhaylovo-Yartsevskoye,khrushchev,cosmetic,owner,6
Nagorny,monolith,euro,owner,6
Zyablikovo,modern_panel,cosmetic,owner,6
Khoroshyovsky,stalin,euro,agency,6
Mozhaysky,khrushchev,euro,owner,6
Zelenograd,monolith,euro,owner,6
Lomonosovsky,brick,euro,owner,6
Izmaylovo,stalin,cosmetic,owner,6
Severny,panel,no_renovation,owner,6
Shchukino,khrushchev,euro,owner,6
Akademichesky,monolith,euro,owner,6
Yuzhnoye Tushino,panel,euro,owner,6
Severnoye Medvedkovo,modern_panel,euro,owner,6
Orekhovo-Borisovo Yuzhnoye,stalin,euro,owner,6
Orekhovo-Borisovo Yuzhnoye,modern_panel,designer,agency,6
Solntsevo,modern_panel,euro,owner,6
Khovrino,panel,euro,owner,6
Ivanovskoye,khrushchev,no_renovation,agency,6
Severnoye Izmaylovo,monolith,designer,agency,6
Yuzhnoye Butovo,panel,no_renovation,owner,6
Donskoy,panel,no_renovation,agency,6
Mosrentgen,brick,no_renovation,agency,6
Beskudnikovsky,khrushchev,no_renovation,agency,6
Basmanny,khrushchev,no_renovation,agency,6
Brateyevo,brick,no_renovation,owner,6
Biryulyovo Zapadnoye,khrushchev,no_renovation,owner,6
Kosino-Ukhtomsky,modern_panel,no_renovation,agency,6
Aeroport,monolith,no_renovation,agency,6
Brateyevo,khrushchev,designer,agency,6
Khoroshyovsky,stalin,cosmetic,agency,6
Arbat,stalin,no_renovation,agency,6
Rogovskoye,brick,cosmetic,owner,6
Sviblovo,khrushchev,no_renovation,owner,6
Arbat,panel,euro,owner,6
Molzhaninovsky,modern_panel,euro,owner,6
Biryulyovo Vostochnoye,modern_panel,designer,owner,6
Maryina Roshcha,panel,euro,owner,6
Losinoostrovsky,khrushchev,cosmetic,owner,6
Kuntsevo,monolith,euro,owner,6
Tagansky,stalin,no_renovation,agency,6
Filyovsky Park,monolith,euro,owner,6
Yuzhnoye Medvedkovo,modern_panel,designer,owner,6
Nagorny,brick,cosmetic,owner,6
Shchapovskoye,panel,designer,agency,6
Altufyevsky,khrushchev,no_renovation,agency,6
Shchapovskoye,panel,no_renovation,owner,6
Levoberezhny,stalin,euro,owner,6
Koptevo,brick,no_renovation,owner,6
Yuzhnoye Butovo,khrushchev,designer,agency,6
Bogorodskoye,modern_panel,designer,agency,6
Vnukovo,panel,designer,owner,6
Bogorodskoye,brick,designer,agency,6
Rostokino,panel,designer,agency,6
Yakimanka,modern_panel,designer,agency,6
Bogorodskoye,stalin,euro,agency,6
Shchapovskoye,monolith,designer,agency,6
Butyrsky,brick,no_renovation,agency,6
Mitino,brick,no_renovation,owner,6
Kievsky,monolith,no_renovation,owner,6
Altufyevsky,monolith,designer,agency,6
Tagansky,panel,no_renovation,agency,6
Savyolovsky,modern_panel,designer,agency,6
Bibirevo,monolith,designer,agency,6
Golyanovo,khrushchev,no_renovation,owner,6
Timiryazevsky,khrushchev,no_renovation,agency,6
Novo-Peredelkino,stalin,euro,agency,6
Sosenskoye,modern_panel,designer,agency,6
Levoberezhny,khrushchev,euro,agency,6
Chertanovo Yuzhnoye,brick,euro,owner,6
Chertanovo Severnoye,khrushchev,no_renovation,agency,6
Pokrovskoye-Streshnevo,modern_panel,designer,agency,6
Alekseevsky,khrushchev,euro,agency,6
Tverskoy,brick,euro,owner,6
Timiryazevsky,brick,no_renovation,agency,6
Sokol,modern_panel,no_renovation,agency,6
Presnensky,khrushchev,no_renovation,agency,6
Zapadnoye Degunino,modern_panel,cosmetic,owner,6
Mosrentgen,monolith,cosmetic,owner,6
Mosrentgen,khrushchev,no_renovation,agency,6
Molzhaninovsky,stalin,euro,agency,6
Beskudnikovsky,brick,designer,agency,6
Biryulyovo Zapadnoye,modern_panel,no_renovation,owner,6
Moskovsky,panel,euro,owner,6
Ivanovskoye,monolith,designer,agency,6
Lianozovo,modern_panel,designer,agency,6
Danilovsky,brick,no_renovation,owner,6
Obruchevsky,monolith,designer,agency,6
Zelenograd,khrushchev,no_renovation,agency,6
Vnukovo,monolith,cosmetic,owner,6
Troparyovo-Nikulino,khrushchev,euro,agency,6
Khamovniki,khrushchev,euro,owner,6
